Property,Property Name,Date,Period,Person/Description,Control,Reference,Debit,Credit,Balance,Remarks,ledgerAccount,Source,Person/Description
mainapt,MAIN APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993608,0122Mktg.mainapt,378,0,11239.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993609,0122Mktg.monticl2,374.5,0,11614,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
pal,PALERMO AT LAKELAND L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993610,0122Mktg.pal,1267,0,12881,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
renwood,RENWOOD LLC,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993611,0122Mktg.renwood,651,0,13532,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993612,0122Mktg.rpa,1326.5,0,14858.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993613,0122Mktg.saffron,346.5,0,15205,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta,SAWYER TRAIL APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993614,0122Mktg.sta,819,0,16024,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta2,SAWYER TRAIL APARTMENTS II L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993615,0122Mktg.sta2,567,0,16591,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph1,SAWYER TRAIL TOWNHOMES PHASE I L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993616,0122Mktg.stthph1,315,0,16906,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993617,0122Mktg.stthph2,280,0,17186,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactbpr,WASHINGTON COURT FLATS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993618,0122Mktg.wactbpr,112,0,17298,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993619,0122Mktg.wactsf,147,0,17445,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactvsr,WASHINGTON COURT VILLAGE SQUARE L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993620,0122Mktg.wactvsr,31.5,0,17476.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996393,0222Mktg.aspen,294,0,17770.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aster,ASTER TOWNHOMES L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996394,0222Mktg.aster,189,0,17959.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
beryl,BERYL APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996395,0222Mktg.beryl,308,0,18267.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
black,BLACK LAKE APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996396,0222Mktg.black,1109.5,0,19377,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
boxcar,BOXCAR APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996397,0222Mktg.boxcar,507.5,0,19884.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996398,0222Mktg.chinook,472.5,0,20357,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996399,0222Mktg.cobble,1221.5,0,21578.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996400,0222Mktg.dwell,539,0,22117.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996401,0222Mktg.edition,472.5,0,22590,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
fla,FOUR LAKES APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996402,0222Mktg.fla,819,0,23409,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun,GLACIER RUN PARTNERS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996403,0222Mktg.glarun,840,0,24249,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun2,GLACIER RUN PARTNERS II L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996404,0222Mktg.glarun2,504,0,24753,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996405,0222Mktg.mainapt,378,0,25131,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996406,0222Mktg.monticl2,374.5,0,25505.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
pal,PALERMO AT LAKELAND L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996407,0222Mktg.pal,1267,0,26772.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
renwood,RENWOOD LLC,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996408,0222Mktg.renwood,651,0,27423.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996409,0222Mktg.rpa,1326.5,0,28750,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996410,0222Mktg.saffron,346.5,0,29096.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta,SAWYER TRAIL APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996411,0222Mktg.sta,819,0,29915.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta2,SAWYER TRAIL APARTMENTS II L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996412,0222Mktg.sta2,567,0,30482.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph1,SAWYER TRAIL TOWNHOMES PHASE I L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996413,0222Mktg.stthph1,315,0,30797.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996414,0222Mktg.stthph2,280,0,31077.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactbpr,WASHINGTON COURT FLATS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996415,0222Mktg.wactbpr,112,0,31189.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996416,0222Mktg.wactsf,147,0,31336.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactvsr,WASHINGTON COURT VILLAGE SQUARE L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-996417,0222Mktg.wactvsr,31.5,0,31368,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003337,0322Mktg.aspen,294,0,31662,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aster,ASTER TOWNHOMES L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003338,0322Mktg.aster,189,0,31851,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
beryl,BERYL APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003339,0322Mktg.beryl,308,0,32159,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
black,BLACK LAKE APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003340,0322Mktg.black,1109.5,0,33268.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
boxcar,BOXCAR APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003341,0322Mktg.boxcar,507.5,0,33776,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003342,0322Mktg.chinook,472.5,0,34248.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003343,0322Mktg.cobble,1221.5,0,35470,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003344,0322Mktg.dwell,539,0,36009,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003345,0322Mktg.edition,472.5,0,36481.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
fla,FOUR LAKES APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003346,0322Mktg.fla,819,0,37300.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun,GLACIER RUN PARTNERS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003347,0322Mktg.glarun,840,0,38140.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun2,GLACIER RUN PARTNERS II L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003348,0322Mktg.glarun2,504,0,38644.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003349,0322Mktg.mainapt,378,0,39022.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003350,0322Mktg.monticl2,374.5,0,39397,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
pal,PALERMO AT LAKELAND L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003351,0322Mktg.pal,1267,0,40664,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
renwood,RENWOOD LLC,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003352,0322Mktg.renwood,651,0,41315,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003353,0322Mktg.rpa,1326.5,0,42641.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003354,0322Mktg.saffron,346.5,0,42988,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta,SAWYER TRAIL APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003355,0322Mktg.sta,819,0,43807,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
sta2,SAWYER TRAIL APARTMENTS II L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003356,0322Mktg.sta2,567,0,44374,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph1,SAWYER TRAIL TOWNHOMES PHASE I L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003357,0322Mktg.stthph1,315,0,44689,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003358,0322Mktg.stthph2,280,0,44969,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactbpr,WASHINGTON COURT FLATS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003359,0322Mktg.wactbpr,112,0,45081,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003360,0322Mktg.wactsf,147,0,45228,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactvsr,WASHINGTON COURT VILLAGE SQUARE L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1003361,0322Mktg.wactvsr,31.5,0,45259.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010236,0422Mktg.aspen,294,0,45553.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aster,ASTER TOWNHOMES L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010237,0422Mktg.aster,189,0,45742.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
beryl,BERYL APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010238,0422Mktg.beryl,308,0,46050.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
black,BLACK LAKE APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010239,0422Mktg.black,1109.5,0,47160,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
boxcar,BOXCAR APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010240,0422Mktg.boxcar,507.5,0,47667.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010241,0422Mktg.chinook,472.5,0,48140,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010242,0422Mktg.cobble,1221.5,0,49361.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010243,0422Mktg.dwell,539,0,49900.5,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1010244,0422Mktg.edition,472.5,0,50373,44652 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
